AREA,orientation,n,originalPlace,year
128003000000,l,3,perm',2010
128003000000,k,3,perm',2009
1404590000,l,3,peterburg,2008
1404590000,k,25,peterburg,2009
1404590000,l,1,peterburg,2011
1404590000,k,9,peterburg,2010
1404590000,l,1,petergof,2011
1404590000,k,1,petergof,2007
1404590000,k,1,petergof,2006
101141000000,l,1,petrovsk,2003
1404590000,l,1,petrograd,2005
1404590000,k,1,petrograd,2010
1404590000,k,1,petrograd,2006
1404590000,k,1,petrodvorets,2007
172464000000,l,1,petrozavodsk,2003
172464000000,k,1,petrozavodsk,2009
172464000000,l,1,petrozavodsk,2006
172464000000,k,1,petrozavodsk,2007
417593000000,k,1,pechora,2010
84212600000,l,2,pikalevo,2009
84212600000,k,1,pikalevo,2009
1404590000,l,6,piter,2012
1404590000,k,6,piter,2009
1404590000,l,3,piter,2003
1404590000,k,6,piter,2004
45938100000,k,1,podol'sk,2011
45938100000,l,1,podol'sk,2013
45938100000,k,1,podol'sk,2008
1009120000,l,1,potapovskii,2008
1009120000,k,1,potapovskii,2004
1009120000,k,1,prechistenskii,2007
53541500000,k,2,privolzh'e,2008
1009120000,l,1,prodakshn,2009
1009120000,k,2,prodakshn,2007
1009120000,l,2,prodakshn,2006
1009120000,k,1,prodakshn,2006
95796800000,k,1,prokop'evsk,2007
45938100000,k,1,protvino,2008
45938100000,l,1,protvino,2011
84480900000,l,1,priamukhino,2009
55256800000,k,1,pskov,2012
55256800000,l,1,pskov,2010
55256800000,k,3,pskov,2005
55256800000,k,1,pskovshchina,2011
55256800000,k,1,pskovshchina,2010
752945000000,k,1,pulkovskii,2012
752945000000,l,1,pulkovskii,2007
752945000000,k,1,pulkovskii,2003
45938100000,l,1,pushkino,2011
45938100000,k,1,pushkino,2008
194272000000,l,1,pyshma,2009
66180200000,k,1,piatigorsk,2010
66180200000,l,1,piatigorsk,2003
45938100000,l,1,radonezh,2004
45938100000,k,1,radonezh,2008
1009120000,k,2,razumovskii,2011
1009120000,l,1,razumovskii,2009
1009120000,k,1,razumovskii,2013
1009120000,k,1,rakhmanovskii,2008
1404590000,k,1,repino,2006
1404590000,l,1,repino,2009
1404590000,k,1,repino,2005
1404590000,l,1,resepshn,2005
45938100000,k,1,reutov,2012
45938100000,l,1,reutov,2006
84480900000,l,1,rzhev,2003
84480900000,k,1,rzhev,2010
84480900000,l,1,rzhev,2009
84480900000,k,2,rzhev,2005
159839000000,k,1,roshchino,2008
45938100000,k,1,ruza,2010
45938100000,l,1,ruza,2004
45938100000,k,2,ruza,2005
36156700000,l,1,rybinsk,2008
36156700000,k,1,rybinsk,2011
36156700000,l,1,rybinsk,2009
36156700000,k,1,rybinsk,2004
1009120000,k,1,reu,2004
39695000000,k,3,riazan',2010
39695000000,l,1,riazan',2003
39695000000,k,1,riazan',2012
677128000000,k,1,salekhard,2004
264616000,l,2,sal'ma,2009
264616000,k,1,sal'ma,2012
264616000,k,1,sal'ma,2003
53541500000,k,1,samara,2010
53541500000,k,1,samara,2011
26149800000,k,1,saransk,2013
26149800000,k,1,saransk,2011
